climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy,climate.station2
9015,51.8042,8.2049,WW,280,16,209,NA,262,286,196,223,9015
9020,51.8833,6.6667,WW,286,14,216,NA,274,353,199,233,9020
9027,51.95,7.1833,WW,280,15,217,NA,258,289,203,233,9027
9030,51.8333,7.3,WW,270,3,214,NA,288,299,210,221,9030
9035,51.7,7.75,WW,270,16,211,NA,270,291,200,222,9035
9052,51.9167,7.8167,WW,281,12,214,NA,280,301,201,231,9052
9055,52.15,7.3333,WW,273,6,221,NA,274,288,211,229,9055
9057,52.15,7.6,WW,278,3,219,NA,283,294,212,227,9057
9060,52.0833,7.4833,WW,266,8,210,NA,261,284,195,226,9060
9076,52.3333,7.5167,WW,266,13,217,NA,273,291,196,238,9076
9084,51.9667,8.2333,WW,285,3,221,NA,293,299,212,228,9084
9087,51.5833,7.0667,WW,269,16,217,NA,275,293,207,231,9087
9088,51.6167,7.2,WW,272,7,225,NA,283,295,220,231,9088
9113,51.6833,8.5667,WW,281,3,213,NA,286,300,204,230,9113
9121,51.9,9.1667,WW,273,11,219,NA,263,284,211,230,9121
9136,52.05,8.4333,WW,267,13,227,NA,270,309,216,241,9136
9143,52.15,8.8,WW,293,16,219,NA,267,306,204,230,9143
9155,51.8333,9.0667,WW,281,16,226,NA,279,306,216,239,9155
9164,52.1,8.9333,WW,293,16,223,NA,265,292,214,236,9164
9169,52.4167,8.6167,WW,289,16,214,NA,277,306,199,232,9169
9180,52.3,8.9167,WW,295,9,217,NA,270,288,206,237,9180
9187,52.25,8.7333,WW,286,16,222,NA,277,292,214,236,9187
9189,52.4,9.1,WW,265,4,220,NA,269,284,210,227,9189
9202,51.5833,9.25,WW,265,16,220,NA,269,288,207,235,9202
9203,51.5833,9.3,WW,281,16,219,NA,261,292,206,232,9203
9205,51.6667,9.05,WW,275,5,221,NA,255,283,216,238,9205
9241,51.35,7.95,WW,287,15,219,NA,237,305,196,248,9241
9243,51.3,8.0333,WW,284,14,224,NA,261,290,207,244,9243
9245,51.3167,8.0667,WW,273,11,222,NA,260,283,209,241,9245
9247,51.45,8.35,WW,287,11,225,NA,265,298,212,236,9247
9273,51.5333,8.2833,WW,290,11,219,NA,259,283,196,235,9273
9275,51.6167,8.3333,WW,290,10,212,NA,267,291,188,227,9275
9276,51.45,8.4333,WW,288,14,234,NA,245,302,207,255,9276
9278,51.35,8.3333,WW,281,16,223,NA,249,286,204,235,9278
9291,51.15,8.2833,WW,275,16,224,NA,256,300,211,235,9291
9299,51.1333,7.9833,WW,282,16,226,NA,273,298,214,247,9299
9319,50.9167,8.1,WW,275,15,216,NA,253,278,205,229,9319
9326,51.5,8.05,WW,286,16,211,NA,264,274,201,219,9326
9363,51.4189,7.425,WW,281,16,224,NA,258,305,200,240,9363
9372,51.4333,7.5833,WW,286,16,217,NA,272,289,204,230,9372
9374,51.5833,7.6667,WW,273,16,220,NA,283,301,203,231,9374
9379,51.5833,7.8833,WW,287,7,219,NA,280,290,211,234,9379
9389,50.75,9.4667,WW,288,15,230,NA,268,297,210,240,9389
9391,50.6167,9.2167,WW,288,9,229,NA,269,285,216,249,9391
9392,50.6167,9.1167,WW,288,10,215,NA,263,284,197,228,9392
9401,49.6667,8.65,WW,273,16,204,NA,279,299,191,215,9401
9416,50.45,9.1333,WW,290,8,214,NA,274,291,201,229,9416
9429,49.8,8.6,WW,264,16,208,NA,284,305,198,222,9429
9434,49.7667,8.8833,WW,278,16,213,NA,267,317,198,232,9434
9450,49.75,9.1,WW,270,14,218,NA,249,293,198,237,9450
9455,49.7333,9,WW,275,16,214,NA,270,291,203,222,9455
9456,49.6833,9,WW,280,16,216,NA,275,291,206,235,9456
9461,49.7167,8.8333,WW,282,16,207,NA,269,297,195,222,9461
9462,49.7833,9.0333,WW,288,16,214,NA,277,307,198,227,9462
9478,50.4,8.8167,WW,273,11,211,NA,269,297,208,215,9478
9490,50.5167,8.8167,WW,282,16,213,NA,258,288,197,229,9490
9501,49.9667,8.5667,WW,284,14,206,NA,286,298,195,222,9501
9504,50.6333,9.45,WW,295,16,227,NA,272,285,216,246,9504
9505,50.4667,9.3167,WW,275,16,229,NA,263,291,213,257,9505
9508,50.5667,9.35,WW,287,8,230,NA,273,288,212,249,9508
9522,50.05,8.9333,WW,280,15,203,NA,253,294,192,227,9522
9530,50.1167,8.9167,WW,290,14,214,NA,274,306,201,233,9530
9534,50.8167,8.7833,WW,291,12,210,NA,266,281,198,219,9534
9536,51.1833,10.1167,WW,285,16,220,NA,273,295,208,231,9536
9540,51.2,10.0667,WW,291,11,211,NA,254,281,199,231,9540
9542,51.2167,10.0167,WW,291,16,218,NA,275,298,208,226,9542
9550,50.9833,8.7333,WW,289,16,217,NA,268,289,207,231,9550
9558,51.1667,8.9,WW,282,4,222,NA,277,289,215,227,9558
9568,51.0333,9.4,WW,280,16,212,NA,268,282,199,222,9568
9592,50.6167,9.7167,WW,284,7,223,NA,258,285,211,235,9592
9593,50.5667,9.7667,WW,289,14,219,NA,272,301,201,234,9593
9603,50.5333,9.65,WW,273,3,218,NA,277,280,214,226,9603
9604,50.6333,10.0167,WW,289,5,222,NA,268,288,201,254,9604
9611,50.8333,9.5667,WW,265,8,217,NA,267,290,209,225,9611
9614,50.85,10,WW,284,10,219,NA,254,297,200,235,9614
9617,51.6,9.55,WW,268,6,212,NA,252,291,191,244,9617
9619,51.4833,9.25,WW,285,16,220,NA,250,284,208,232,9619
9621,51.4,9.4667,WW,281,16,218,NA,264,287,201,229,9621
9626,51.4667,9.4833,WW,268,4,225,NA,283,295,222,230,9626
9634,50.75,9.8167,WW,282,16,225,NA,277,303,208,244,9634
9643,50.7833,9.8667,WW,277,3,214,NA,263,272,213,216,9643
9645,51.2667,9.3833,WW,268,11,218,NA,263,286,201,230,9645
9646,51.2833,9.6,WW,275,16,217,NA,266,289,207,230,9646
9649,51.3833,9.5167,WW,281,16,218,NA,266,286,206,230,9649
9651,51.2333,9.5667,WW,277,15,218,NA,266,291,108,247,9651
9663,50.6833,8.6,WW,278,16,220,NA,273,292,209,234,9663
9667,50.85,9.1167,WW,273,8,220,NA,261,283,207,235,9667
9668,50.7333,8.7,WW,283,14,213,NA,272,290,203,230,9668
9675,50.8833,8.9833,WW,289,5,216,NA,270,283,202,227,9675
9684,51.1,9.5333,WW,289,16,219,NA,258,298,209,238,9684
9691,51.0333,9.9,WW,289,8,224,NA,263,273,216,233,9691
9697,50.9833,9.5333,WW,282,14,222,NA,271,286,213,233,9697
9698,51.0167,9.9333,WW,265,16,224,NA,262,292,213,246,9698
9706,50.95,9.8667,WW,277,16,217,NA,264,302,207,229,9706
9723,51.35,8.7333,WW,277,9,227,NA,272,285,215,244,9723
9730,51.3333,8.9,WW,278,10,219,NA,258,272,210,229,9730
9732,51.4667,9.0167,WW,286,16,222,NA,269,293,207,234,9732
9735,51.35,8.7,WW,288,7,230,NA,274,292,210,240,9735
9741,51.5167,9,WW,283,3,230,NA,268,293,226,237,9741
9764,51.45,9.25,WW,287,16,215,NA,263,281,210,230,9764
9768,51.241,9.2629,WW,287,15,217,NA,266,279,207,230,9768
9770,50.9,9.2167,WW,274,7,211,NA,257,290,201,225,9770
9776,50.8667,9.35,WW,285,16,215,NA,267,286,200,230,9776
9777,50.8667,9.4667,WW,283,16,218,NA,268,284,208,229,9777
9778,51,9.0667,WW,303,15,219,NA,264,292,208,230,9778
9794,50.05,8.3,WW,290,4,206,NA,248,293,192,214,9794
9798,50.8,8.5833,WW,294,16,215,NA,265,283,199,234,9798
9825,50.1167,9.4833,WW,293,8,223,NA,263,284,200,247,9825
9833,50.15,8.75,WW,294,16,209,NA,274,293,193,227,9833
9845,50.3167,8.15,WW,289,3,211,NA,278,282,211,213,9845
9848,50.3833,8.0333,WW,291,16,208,NA,272,294,197,216,9848
9881,50.2667,9.5167,WW,281,7,216,NA,256,293,201,228,9881
9883,50.2833,9.3667,WW,283,9,215,NA,280,291,211,227,9883
9885,50.3,9.3667,WW,281,9,215,NA,273,289,201,228,9885
9894,50.2167,8.2667,WW,286,10,212,NA,270,277,199,223,9894
9901,50.3,8.5167,WW,286,7,222,NA,261,302,214,230,9901
9911,50.5667,8.2833,WW,289,14,214,NA,263,292,198,226,9911
9913,50.5167,8.3833,WW,292,9,225,NA,252,287,190,241,9913
9920,50.6167,8.6333,WW,292,15,212,NA,253,291,190,222,9920
9923,50.5333,8.5,WW,285,16,217,NA,273,295,207,232,9923
9954,50.6833,7.6833,WW,290,12,213,NA,267,299,196,228,9954
9955,50.7333,7.9667,WW,295,4,223,NA,254,262,218,226,9955
9968,49.6333,7.2833,WW,283,7,220,NA,278,296,195,232,9968
9975,49.75,7.3,WW,283,8,214,NA,276,293,200,222,9975
10000,49.8667,7.65,WW,291,16,211,NA,272,292,199,219,10000
10010,50.3,7.1667,WW,279,16,220,NA,273,291,199,231,10010
10024,50.5667,7.6167,WW,289,16,220,NA,266,303,207,234,10024
10031,50.1667,7.55,WW,294,14,215,NA,265,286,198,231,10031
10040,49.9833,7.6,WW,285,15,224,NA,267,297,207,235,10040
10050,49.7333,6.65,WW,277,16,210,NA,283,295,186,227,10050
10059,49.8833,6.9667,WW,274,8,209,NA,280,304,201,213,10059
10091,50.2833,6.6333,WW,273,16,231,NA,274,298,217,251,10091
10093,50.2,6.4167,WW,292,16,230,NA,278,292,216,240,10093
10110,49.6167,6.4333,WW,280,16,213,NA,259,293,199,224,10110
10117,49.7,6.9167,WW,288,16,220,NA,264,302,209,235,10117
10122,49.8,6.7167,WW,282,8,209,NA,280,304,204,213,10122
